Ἀαρών	명사	남성 단수 속격	luke 1:5
αββα	명사	남성 단수 호격	mark 14:36
Ἀβιαθάρ	명사	남성 단수 속격	mark 2:26
ἄβυσσος	명사	여성 단수 대격	luke 8:31
ἀγγεῖον	명사	중성 복수 여격	matthew 25:4
ἀγγέλλω	동사	현재 능동 분사 여성 단수 주격	john 20:18
ἄγγος	명사	중성 복수 대격	matthew 13:48
ἀγκάλη	명사	여성 복수 대격	luke 2:28
ἄγκιστρον	명사	중성 단수 대격	matthew 17:27
ἁγνίζω	동사	3인칭 복수 부정과거 능동 가정법	john 11:55
ἀγραυλέω	동사	현재 능동 분사 남성 복수 주격	luke 2:8
ἀγρεύω	동사	3인칭 복수 부정과거 능동 가정법	mark 12:13
ἀγωνία	명사	여성 단수 여격	luke 22:44
Ἀδάμ	명사	남성 단수 속격	luke 3:38
Ἀδδί	명사	남성 단수 속격	luke 3:28
ἄδηλος	형용사	중성 복수 주격	luke 11:44
Ἀδμίν	명사	남성 단수 속격	luke 3:33
ἀθροίζω	동사	완료 수동 분사 남성 복수 대격	luke 24:33
αἱμορροέω	동사	현재 능동 분사 여성 단수 주격	matthew 9:20
Αἰνών	명사	여성 단수 여격	john 3:23
αἱρετίζω	동사	1인칭 단수 부정과거 능동 직설법	matthew 12:18
αἰσθάνομαι	동사	3인칭 복수 부정과거 중간 가정법	luke 9:45
αἰσχύνη	명사	여성 단수 속격	luke 14:9
αἰσχύνομαι	동사	1인칭 단수 현재 중간 직설법	luke 16:3
αἴτημα	명사	중성 단수 대격	luke 23:24
αἰφνίδιος	형용사	여성 단수 주격	luke 21:34
αἰχμαλωτίζω	동사	3인칭 복수 미래 수동 직설법	luke 21:24
αἰχμάλωτος	명사	남성 복수 여격	luke 4:18
ἀκαθαρσία	명사	여성 단수 속격	matthew 23:27
ἀκαταστασία	명사	여성 복수 대격	luke 21:9
ἀκέραιος	형용사	남성 복수 주격	matthew 10:16
ἀκμήν	부사		matthew 15:16
ἀκρασία	명사	여성 단수 속격	matthew 23:25
ἅλα	명사	중성 단수 대격	mark 9:50
ἀλαλάζω	동사	현재 능동 분사 남성 복수 대격	mark 5:38
ἀλεκτοροφωνία	명사	여성 단수 속격	mark 13:35
ἀλλαχόθεν	부사		john 10:1
ἀλλαχοῦ	부사		mark 1:38
ἀλλογενής	형용사	남성 단수 주격	luke 17:18
ἅλλομαι	동사	현재 중간 분사 중성 단수 속격	john 4:14
ἀλόη	명사	여성 단수 속격	john 19:39
ἀμελέω	동사	부정과거 능동 분사 남성 복수 주격	matthew 22:5
